product_id,name,category,price,stock_quantity,supplier,description,weight,dimensions,warranty,release_date,rating,reviews_count
61,Product 61,Sports,690.02,178,Fitbit,Description for Product 61 in Sports,3.53,25x12x29,4,2022-07-19,4.2,3399
62,Product 62,Books,582.75,382,Nike,Description for Product 62 in Books,0.14,59x31x11,2,2021-10-07,4.9,1798
63,Product 63,Wearables,504.43,107,Philips,Description for Product 63 in Wearables,6.01,67x44x18,3,2018-03-31,3.1,690
64,Product 64,Home Appliances,739.02,113,Apple,Description for Product 64 in Home Appliances,2.19,24x13x18,5,2018-12-09,4.0,4801
65,Product 65,Home Appliances,823.94,368,Logitech,Description for Product 65 in Home Appliances,8.67,40x17x21,3,2018-05-05,3.6,1658
66,Product 66,Wearables,856.01,241,Nike,Description for Product 66 in Wearables,0.7,87x39x13,4,2022-10-05,4.0,1746
67,Product 67,Home Appliances,255.38,251,Logitech,Description for Product 67 in Home Appliances,0.22,90x48x14,4,2023-05-01,3.2,2686
68,Product 68,Electronics,319.59,302,Amazon,Description for Product 68 in Electronics,8.38,24x44x20,3,2018-05-08,4.1,1970
69,Product 69,Wearables,520.4,194,Sony,Description for Product 69 in Wearables,7.43,10x35x16,2,2021-02-18,4.9,217
70,Product 70,Electronics,894.4,248,Amazon,Description for Product 70 in Electronics,8.04,21x50x27,3,2021-10-28,3.6,406
71,Product 71,Sports,613.06,424,Philips,Description for Product 71 in Sports,8.81,37x38x12,2,2018-08-05,4.5,495
72,Product 72,Electronics,68.05,275,Adidas,Description for Product 72 in Electronics,7.54,68x38x24,2,2022-05-20,4.1,1902
73,Product 73,Wearables,925.2,427,Ninja,Description for Product 73 in Wearables,4.04,70x39x21,3,2020-10-05,4.9,1150
74,Product 74,Home Appliances,859.44,406,Nike,Description for Product 74 in Home Appliances,4.3,17x47x8,2,2023-10-05,3.1,2678
75,Product 75,Books,421.35,494,Fitbit,Description for Product 75 in Books,0.35,64x49x16,5,2023-09-20,3.7,2421
76,Product 76,Home Appliances,149.96,413,Ninja,Description for Product 76 in Home Appliances,2.24,96x44x8,1,2019-05-30,4.8,3601
77,Product 77,Wearables,76.02,264,Amazon,Description for Product 77 in Wearables,2.53,34x28x23,1,2021-12-31,4.4,849
78,Product 78,Home Appliances,931.24,51,Dell,Description for Product 78 in Home Appliances,7.16,10x14x21,1,2020-04-28,3.7,1157
79,Product 79,Home Appliances,738.87,400,Amazon,Description for Product 79 in Home Appliances,7.3,89x37x30,3,2019-03-15,3.6,1417
80,Product 80,Books,810.32,405,Amazon,Description for Product 80 in Books,7.19,78x28x22,5,2020-05-01,4.0,2775
81,Product 81,Books,100.1,179,Ninja,Description for Product 81 in Books,3.28,46x24x16,3,2018-10-02,3.7,3431
82,Product 82,Books,201.67,18,Nike,Description for Product 82 in Books,5.9,61x44x25,1,2021-10-28,3.5,1104
83,Product 83,Wearables,187.97,428,Ninja,Description for Product 83 in Wearables,0.24,36x17x21,4,2023-04-20,4.9,2834
84,Product 84,Books,53.22,368,Amazon,Description for Product 84 in Books,0.14,62x46x26,3,2020-07-13,4.0,1886
85,Product 85,Wearables,991.92,12,Philips,Description for Product 85 in Wearables,0.83,84x19x28,1,2021-11-23,3.4,242
86,Product 86,Home Appliances,760.9,417,Amazon,Description for Product 86 in Home Appliances,8.83,88x15x27,3,2018-12-28,4.1,4562
87,Product 87,Sports,304.74,198,Ninja,Description for Product 87 in Sports,3.81,73x21x8,4,2018-02-02,3.5,2712
88,Product 88,Electronics,396.03,161,Sony,Description for Product 88 in Electronics,4.59,88x36x13,3,2020-10-22,3.5,1519
89,Product 89,Sports,416.71,325,Sony,Description for Product 89 in Sports,1.23,68x34x19,3,2019-01-16,4.5,2542
90,Product 90,Electronics,840.59,386,Nike,Description for Product 90 in Electronics,9.72,10x20x28,5,2018-05-22,4.7,1818
91,Product 91,Sports,331.95,92,Amazon,Description for Product 91 in Sports,0.97,49x35x7,2,2018-11-21,4.8,1658
92,Product 92,Sports,617.56,223,Philips,Description for Product 92 in Sports,2.41,35x30x26,1,2022-04-26,3.5,2485
93,Product 93,Electronics,18.94,426,Adidas,Description for Product 93 in Electronics,4.23,47x20x30,5,2021-05-13,4.0,3699
94,Product 94,Books,154.43,109,Dell,Description for Product 94 in Books,8.2,27x19x6,3,2021-03-16,3.3,1693
95,Product 95,Books,435.66,364,Logitech,Description for Product 95 in Books,9.48,90x34x8,2,2022-09-12,3.3,4113
96,Product 96,Wearables,312.03,184,Logitech,Description for Product 96 in Wearables,8.31,55x28x26,3,2022-12-19,3.6,3125
97,Product 97,Home Appliances,195.51,435,Nike,Description for Product 97 in Home Appliances,3.92,83x22x5,1,2018-08-12,5.0,4767
98,Product 98,Home Appliances,895.94,482,Apple,Description for Product 98 in Home Appliances,0.36,96x28x13,1,2023-05-08,4.8,2855
99,Product 99,Sports,642.59,366,Logitech,Description for Product 99 in Sports,2.47,12x33x6,4,2018-02-15,3.8,689
100,Product 100,Home Appliances,626.44,10,Logitech,Description for Product 100 in Home Appliances,7.55,35x19x6,2,2021-03-05,4.2,2936
101,Product 101,Sports,773.0,368,Amazon,Description for Product 101 in Sports,7.86,59x24x14,2,2019-10-24,3.4,2761
102,Product 102,Sports,228.06,332,Apple,Description for Product 102 in Sports,2.87,25x25x25,3,2019-10-30,4.8,4700
103,Product 103,Electronics,650.84,376,Logitech,Description for Product 103 in Electronics,3.93,55x39x16,4,2020-09-26,4.2,4311
104,Product 104,Wearables,640.76,8,Amazon,Description for Product 104 in Wearables,9.51,89x43x15,4,2019-07-07,3.6,1349
105,Product 105,Sports,397.75,453,Philips,Description for Product 105 in Sports,6.74,10x12x25,1,2019-02-28,3.1,3884
106,Product 106,Electronics,674.23,15,Sony,Description for Product 106 in Electronics,4.37,82x22x11,5,2022-08-03,3.1,149
107,Product 107,Home Appliances,356.92,269,Dell,Description for Product 107 in Home Appliances,5.7,48x47x8,5,2019-07-07,4.7,1321
108,Product 108,Electronics,886.5,371,Sony,Description for Product 108 in Electronics,2.36,43x40x8,2,2022-08-30,4.7,4465
109,Product 109,Wearables,405.3,249,Nike,Description for Product 109 in Wearables,2.94,67x10x13,4,2019-07-18,3.2,2856
110,Product 110,Electronics,929.53,431,Sony,Description for Product 110 in Electronics,8.52,36x20x16,3,2018-05-30,3.8,1165
111,Product 111,Electronics,941.0,484,Amazon,Description for Product 111 in Electronics,4.35,33x24x7,2,2022-02-06,3.4,924
112,Product 112,Sports,582.97,103,Ninja,Description for Product 112 in Sports,1.78,15x31x7,1,2021-10-11,3.3,914
113,Product 113,Sports,591.75,195,Philips,Description for Product 113 in Sports,9.9,59x12x21,3,2021-01-14,3.4,1003
114,Product 114,Wearables,317.78,159,Dell,Description for Product 114 in Wearables,8.39,36x39x11,5,2018-12-17,4.4,2437
115,Product 115,Home Appliances,203.55,142,Apple,Description for Product 115 in Home Appliances,3.7,76x45x24,3,2022-03-27,4.3,4987
116,Product 116,Home Appliances,430.18,84,Adidas,Description for Product 116 in Home Appliances,1.11,45x22x14,5,2022-11-26,5.0,3007
117,Product 117,Sports,644.48,1,Adidas,Description for Product 117 in Sports,1.1,29x33x21,1,2019-10-31,4.7,447
118,Product 118,Wearables,352.35,51,Adidas,Description for Product 118 in Wearables,5.4,90x50x25,5,2019-01-24,3.6,46
119,Product 119,Home Appliances,190.71,199,Sony,Description for Product 119 in Home Appliances,2.13,37x21x17,4,2021-03-22,4.7,3728
120,Product 120,Wearables,153.22,475,Nike,Description for Product 120 in Wearables,1.91,46x15x23,5,2019-05-15,3.7,1501
121,Product 121,Books,213.26,345,Adidas,Description for Product 121 in Books,1.81,20x33x12,3,2022-10-21,4.2,4395
122,Product 122,Wearables,253.75,272,Dell,Description for Product 122 in Wearables,4.7,97x26x15,1,2020-08-24,3.4,4715
123,Product 123,Wearables,877.18,470,Apple,Description for Product 123 in Wearables,9.26,71x40x23,1,2022-03-23,3.6,3592
124,Product 124,Books,956.56,142,Apple,Description for Product 124 in Books,7.71,57x39x9,2,2020-10-27,3.8,4522
125,Product 125,Electronics,435.45,23,Fitbit,Description for Product 125 in Electronics,0.71,17x37x19,2,2019-04-06,4.1,4889
126,Product 126,Sports,315.03,400,Philips,Description for Product 126 in Sports,8.9,45x43x18,1,2023-03-27,4.5,3684
127,Product 127,Wearables,201.5,365,Dell,Description for Product 127 in Wearables,7.45,80x42x9,4,2019-02-09,3.9,3498
128,Product 128,Sports,906.2,193,Adidas,Description for Product 128 in Sports,5.71,43x21x15,5,2021-02-25,4.3,706
129,Product 129,Home Appliances,910.67,378,Nike,Description for Product 129 in Home Appliances,5.82,12x28x7,2,2023-03-03,3.6,895
130,Product 130,Books,149.81,233,Adidas,Description for Product 130 in Books,0.52,87x16x28,4,2020-05-22,4.0,1075
131,Product 131,Wearables,986.67,311,Ninja,Description for Product 131 in Wearables,8.91,99x41x5,3,2022-02-13,4.2,2233
132,Product 132,Sports,609.18,182,Apple,Description for Product 132 in Sports,4.77,81x18x10,4,2018-02-07,3.2,2661
133,Product 133,Wearables,714.48,89,Amazon,Description for Product 133 in Wearables,8.96,44x31x30,3,2023-08-01,4.7,2519
134,Product 134,Home Appliances,199.21,44,Ninja,Description for Product 134 in Home Appliances,7.77,73x29x27,2,2019-03-22,4.4,4652
135,Product 135,Sports,623.16,108,Philips,Description for Product 135 in Sports,8.01,79x38x22,2,2022-03-30,3.3,3023
136,Product 136,Sports,316.81,79,Logitech,Description for Product 136 in Sports,8.25,41x35x11,1,2018-10-14,3.2,4688
137,Product 137,Home Appliances,791.56,247,Apple,Description for Product 137 in Home Appliances,0.91,73x49x10,5,2020-09-14,4.2,3632
138,Product 138,Wearables,470.55,288,Logitech,Description for Product 138 in Wearables,8.63,12x27x21,1,2021-01-13,4.9,2006
139,Product 139,Home Appliances,507.09,64,Sony,Description for Product 139 in Home Appliances,9.62,45x50x27,5,2021-10-08,4.3,1813
140,Product 140,Electronics,415.72,228,Nike,Description for Product 140 in Electronics,2.36,55x14x20,2,2019-04-06,3.2,3855
141,Product 141,Home Appliances,908.85,80,Ninja,Description for Product 141 in Home Appliances,2.03,22x16x25,3,2021-04-16,3.2,1072
142,Product 142,Home Appliances,55.07,187,Apple,Description for Product 142 in Home Appliances,5.88,70x29x22,4,2019-01-01,4.7,4693
143,Product 143,Books,350.19,335,Logitech,Description for Product 143 in Books,9.05,53x38x24,4,2019-08-02,4.4,400
144,Product 144,Electronics,843.53,111,Adidas,Description for Product 144 in Electronics,5.2,58x43x9,2,2022-07-30,3.6,3673
145,Product 145,Home Appliances,281.36,377,Logitech,Description for Product 145 in Home Appliances,3.86,91x24x12,2,2019-05-29,4.1,1263
146,Product 146,Sports,247.03,497,Fitbit,Description for Product 146 in Sports,4.69,45x41x23,2,2021-02-20,3.9,1001
147,Product 147,Books,460.74,86,Apple,Description for Product 147 in Books,4.7,79x11x24,1,2019-09-21,3.4,4930
148,Product 148,Sports,282.53,278,Dell,Description for Product 148 in Sports,7.46,97x21x5,2,2019-09-12,4.6,1652
149,Product 149,Wearables,161.92,129,Logitech,Description for Product 149 in Wearables,5.79,52x22x30,3,2019-05-05,4.4,1079
150,Product 150,Home Appliances,690.5,31,Dell,Description for Product 150 in Home Appliances,8.95,68x38x14,2,2020-07-27,3.0,1489
151,Product 151,Electronics,448.07,38,Sony,Description for Product 151 in Electronics,7.21,36x13x19,3,2020-06-09,4.0,648
152,Product 152,Books,828.2,472,Amazon,Description for Product 152 in Books,1.81,60x46x7,2,2021-04-29,4.3,1959
153,Product 153,Home Appliances,298.69,101,Nike,Description for Product 153 in Home Appliances,4.6,79x24x16,1,2020-02-12,3.9,943
154,Product 154,Wearables,803.37,13,Dell,Description for Product 154 in Wearables,8.48,91x27x27,5,2023-03-13,4.0,261
155,Product 155,Books,552.44,91,Apple,Description for Product 155 in Books,0.84,49x36x8,2,2023-09-17,3.1,1153
156,Product 156,Books,972.11,376,Philips,Description for Product 156 in Books,7.77,78x27x20,2,2021-04-30,3.3,1889
157,Product 157,Home Appliances,18.92,205,Amazon,Description for Product 157 in Home Appliances,4.31,67x46x18,1,2018-10-25,3.1,381
158,Product 158,Wearables,525.85,1,Sony,Description for Product 158 in Wearables,1.69,63x16x16,2,2021-03-07,4.4,2870
159,Product 159,Electronics,898.34,470,Dell,Description for Product 159 in Electronics,9.73,84x43x22,2,2019-01-26,4.2,2641
160,Product 160,Wearables,661.09,266,Apple,Description for Product 160 in Wearables,7.49,59x31x19,2,2023-08-29,4.9,1824
161,Product 161,Wearables,874.5,179,Ninja,Description for Product 161 in Wearables,5.2,80x40x28,3,2020-03-08,4.8,3769
162,Product 162,Home Appliances,742.38,421,Apple,Description for Product 162 in Home Appliances,0.48,59x43x18,3,2019-02-10,3.1,373
163,Product 163,Electronics,845.03,45,Amazon,Description for Product 163 in Electronics,8.38,99x37x8,5,2019-02-03,3.1,4080
164,Product 164,Home Appliances,90.92,466,Amazon,Description for Product 164 in Home Appliances,7.98,80x39x8,1,2019-07-21,3.7,2042
165,Product 165,Home Appliances,386.32,14,Philips,Description for Product 165 in Home Appliances,5.25,43x43x24,4,2021-09-10,4.4,4421
166,Product 166,Home Appliances,749.48,344,Adidas,Description for Product 166 in Home Appliances,6.06,50x39x20,5,2023-12-09,4.4,569
167,Product 167,Sports,313.17,173,Fitbit,Description for Product 167 in Sports,0.55,91x31x22,4,2020-02-23,4.4,3496
168,Product 168,Home Appliances,764.47,187,Dell,Description for Product 168 in Home Appliances,8.89,21x48x23,2,2023-03-11,3.9,1368
169,Product 169,Books,71.52,336,Apple,Description for Product 169 in Books,7.33,34x37x18,2,2020-07-26,4.6,44
170,Product 170,Electronics,907.83,270,Adidas,Description for Product 170 in Electronics,0.72,17x32x13,5,2019-09-23,3.8,690
171,Product 171,Wearables,200.2,486,Ninja,Description for Product 171 in Wearables,6.69,90x10x16,1,2020-07-01,3.3,3072
172,Product 172,Electronics,778.77,445,Dell,Description for Product 172 in Electronics,3.7,71x17x20,3,2022-03-21,3.8,734
173,Product 173,Sports,686.4,47,Sony,Description for Product 173 in Sports,6.01,94x18x5,4,2021-09-30,4.1,447
174,Product 174,Books,994.83,99,Philips,Description for Product 174 in Books,4.53,22x11x13,4,2020-08-21,4.9,4332
175,Product 175,Wearables,726.39,301,Sony,Description for Product 175 in Wearables,9.93,94x44x6,1,2019-06-10,4.0,2589
176,Product 176,Wearables,20.11,273,Philips,Description for Product 176 in Wearables,0.23,89x29x9,2,2021-12-09,4.5,1601
177,Product 177,Electronics,574.73,308,Sony,Description for Product 177 in Electronics,4.85,91x44x28,3,2018-07-22,3.6,552
178,Product 178,Books,475.91,70,Amazon,Description for Product 178 in Books,8.02,15x46x9,2,2023-07-12,4.5,125
179,Product 179,Home Appliances,481.6,38,Apple,Description for Product 179 in Home Appliances,3.34,21x32x12,1,2018-10-17,3.2,3125
180,Product 180,Electronics,193.58,214,Fitbit,Description for Product 180 in Electronics,7.6,37x31x29,4,2022-10-01,4.3,186
181,Product 181,Home Appliances,64.75,255,Ninja,Description for Product 181 in Home Appliances,4.34,68x24x25,5,2021-06-23,3.3,1418
182,Product 182,Wearables,283.42,94,Dell,Description for Product 182 in Wearables,2.84,74x36x10,2,2018-08-22,4.2,4511
183,Product 183,Books,446.3,301,Amazon,Description for Product 183 in Books,3.65,72x46x9,5,2022-10-24,4.0,3117
184,Product 184,Electronics,729.88,188,Nike,Description for Product 184 in Electronics,4.24,90x18x30,4,2022-05-27,4.1,2646
185,Product 185,Wearables,181.65,424,Ninja,Description for Product 185 in Wearables,5.58,69x21x11,4,2021-06-28,3.5,2559
186,Product 186,Wearables,430.38,315,Ninja,Description for Product 186 in Wearables,6.6,30x46x22,5,2019-03-17,4.0,3861
187,Product 187,Sports,472.49,1,Dell,Description for Product 187 in Sports,6.16,66x18x21,3,2023-06-18,4.6,1089
188,Product 188,Electronics,757.92,463,Sony,Description for Product 188 in Electronics,3.56,38x35x24,4,2018-09-03,4.3,641
189,Product 189,Books,707.72,439,Dell,Description for Product 189 in Books,7.34,91x20x11,2,2021-11-06,3.7,3310
190,Product 190,Electronics,421.9,43,Fitbit,Description for Product 190 in Electronics,4.45,48x45x23,5,2020-12-30,3.4,1564
191,Product 191,Sports,914.48,389,Apple,Description for Product 191 in Sports,4.58,26x48x24,2,2023-08-08,4.7,4328
192,Product 192,Sports,511.03,53,Logitech,Description for Product 192 in Sports,5.54,97x41x6,5,2020-08-13,3.0,1005
193,Product 193,Books,262.07,200,Logitech,Description for Product 193 in Books,8.94,65x36x25,4,2018-11-19,4.2,4900
194,Product 194,Home Appliances,230.46,174,Logitech,Description for Product 194 in Home Appliances,0.88,59x13x27,3,2019-01-15,4.0,4789
195,Product 195,Sports,806.95,377,Apple,Description for Product 195 in Sports,4.66,56x28x10,1,2020-08-29,4.7,2755
196,Product 196,Sports,740.6,3,Dell,Description for Product 196 in Sports,6.68,95x16x22,5,2019-07-25,3.9,2075
197,Product 197,Books,509.55,340,Fitbit,Description for Product 197 in Books,6.46,89x26x7,4,2023-07-01,3.8,3989
198,Product 198,Wearables,350.78,315,Apple,Description for Product 198 in Wearables,6.54,71x25x16,1,2018-02-09,4.6,3013
199,Product 199,Books,996.46,170,Fitbit,Description for Product 199 in Books,3.44,41x10x23,5,2019-10-15,4.3,1096
200,Product 200,Books,536.36,263,Philips,Description for Product 200 in Books,1.49,65x37x15,5,2020-10-10,4.5,182
201,Product 201,Wearables,986.03,19,Adidas,Description for Product 201 in Wearables,5.45,85x37x11,4,2018-04-08,3.5,3330
202,Product 202,Sports,393.49,151,Logitech,Description for Product 202 in Sports,4.62,39x20x20,2,2023-04-27,4.6,1889
203,Product 203,Sports,84.16,295,Adidas,Description for Product 203 in Sports,2.78,48x45x22,2,2018-03-24,3.9,4513
204,Product 204,Wearables,205.75,5,Adidas,Description for Product 204 in Wearables,7.04,88x15x24,5,2023-04-16,4.4,3266
205,Product 205,Books,575.63,177,Apple,Description for Product 205 in Books,1.04,18x46x15,5,2022-03-21,4.5,269
206,Product 206,Home Appliances,862.07,286,Adidas,Description for Product 206 in Home Appliances,7.27,33x34x7,2,2023-01-06,3.7,1380
207,Product 207,Books,59.02,146,Sony,Description for Product 207 in Books,0.87,83x22x14,2,2018-02-14,4.1,2834
208,Product 208,Electronics,519.64,189,Adidas,Description for Product 208 in Electronics,5.17,64x25x24,1,2022-02-07,3.1,4206
209,Product 209,Home Appliances,182.1,407,Logitech,Description for Product 209 in Home Appliances,8.58,44x41x15,3,2022-04-21,4.3,711
210,Product 210,Wearables,86.36,30,Amazon,Description for Product 210 in Wearables,9.67,46x50x8,3,2020-01-01,4.9,940
211,Product 211,Electronics,508.08,97,Adidas,Description for Product 211 in Electronics,0.95,67x35x18,4,2018-07-15,3.6,309
212,Product 212,Electronics,434.16,201,Ninja,Description for Product 212 in Electronics,9.71,39x22x10,5,2019-09-16,4.4,124
213,Product 213,Wearables,611.68,196,Dell,Description for Product 213 in Wearables,0.96,80x22x13,5,2022-03-26,3.1,3708
214,Product 214,Electronics,60.59,104,Ninja,Description for Product 214 in Electronics,8.92,54x15x12,3,2022-12-21,4.3,1978
215,Product 215,Sports,810.73,368,Amazon,Description for Product 215 in Sports,9.27,60x26x9,1,2022-06-25,4.1,997
216,Product 216,Electronics,609.58,457,Dell,Description for Product 216 in Electronics,6.86,35x17x23,1,2019-06-19,4.8,4925
217,Product 217,Wearables,569.13,431,Nike,Description for Product 217 in Wearables,2.09,75x11x19,2,2022-09-11,4.7,4896
218,Product 218,Books,228.28,11,Ninja,Description for Product 218 in Books,6.54,60x20x29,4,2018-02-14,4.5,3181
219,Product 219,Electronics,442.27,52,Sony,Description for Product 219 in Electronics,1.2,28x26x17,1,2019-09-21,3.0,881
220,Product 220,Home Appliances,815.48,363,Nike,Description for Product 220 in Home Appliances,2.74,76x34x13,3,2020-11-18,3.4,859
221,Product 221,Home Appliances,910.21,265,Amazon,Description for Product 221 in Home Appliances,9.0,73x12x21,2,2019-01-06,3.0,845
222,Product 222,Books,475.38,77,Apple,Description for Product 222 in Books,5.25,58x46x8,4,2019-11-23,3.1,4786
223,Product 223,Electronics,187.7,313,Fitbit,Description for Product 223 in Electronics,9.21,43x42x14,4,2022-07-03,3.9,3565
